feature,original_value,modified_value,change,original_prediction,counterfactual_prediction,prediction_change,target_achieved
Engagement_Index,0.41,0.49199999999999994,0.08199999999999996,64.56719,65.509094,0.94190216,False
Access_to_Resources_encoded,66.20335110434121,79.44402132520945,13.240670220868239,64.56719,66.53697,1.96978,False
Peer_Influence_encoded,66.56427015250544,79.87712418300653,13.312854030501086,64.56719,65.63607,1.0688782,False
Parental_Education_Level_encoded,66.89797766374886,80.27757319649864,13.379595532749775,64.56719,67.46694,2.8997498,False
Physical_Activity_encoded,67.6038781163435,54.0831024930748,-13.520775623268698,64.56719,63.838547,-0.7286453,False
