Model,Test_RMSE,Test_MAE,Test_R²,Train_RMSE,Train_MAE,Train_R²,CV_RMSE_Mean,CV_RMSE_Std,CV_R²_Mean,CV_R²_Std
CatBoost,1.8682871452107002,0.6128166726859462,0.7530612691506802,1.8129755171744697,0.5748290199949345,0.7863020512279364,2.156890594920921,0.17213456177676628,0.6970930573040601,0.031534988287448225
LightGBM,1.936695220848659,0.7468323225361407,0.7346466821724631,1.5255052884540312,0.5712955974008501,0.8486982643807213,2.2207485777851135,0.17429254983385972,0.6790187529478902,0.031343077914019815
XGBoost,2.0503354705235464,0.792523980140686,0.7025926113128662,0.8063739400421164,0.3930424451828003,0.9577244520187378,2.303177361399386,0.17091024344966768,0.6546582579612732,0.03238630895269221
